"","year","iso2","legal_form","number_firms_eurostat"
"1",2004,"AT","Limited liability enterprise",62801
"2",2005,"AT","Limited liability enterprise",65376
"3",2006,"AT","Limited liability enterprise",68530
"4",2007,"AT","Limited liability enterprise",79397
"5",2008,"AT","Limited liability enterprise",82751
"6",2009,"AT","Limited liability enterprise",85277
"7",2010,"AT","Limited liability enterprise",87701
"8",2011,"AT","Limited liability enterprise",87886
"9",2012,"AT","Limited liability enterprise",89614
"10",2013,"AT","Limited liability enterprise",93922
"11",2014,"AT","Limited liability enterprise",96266
"12",2015,"AT","Limited liability enterprise",98777
"13",2016,"AT","Limited liability enterprise",99480
"14",2017,"AT","Limited liability enterprise",100554
"15",2018,"AT","Limited liability enterprise",102466
"16",2019,"AT","Limited liability enterprise",104823
"17",2020,"AT","Limited liability enterprise",110943
"18",2017,"BA","Limited liability enterprise",32422
"19",2018,"BA","Limited liability enterprise",32533
"20",2019,"BA","Limited liability enterprise",32079
"21",2008,"BE","Limited liability enterprise",306589
"22",2009,"BE","Limited liability enterprise",354494
"23",2010,"BE","Limited liability enterprise",365106
"24",2011,"BE","Limited liability enterprise",376867
"25",2012,"BE","Limited liability enterprise",382074
"26",2013,"BE","Limited liability enterprise",380098
"27",2014,"BE","Limited liability enterprise",382197
"28",2015,"BE","Limited liability enterprise",386488
"29",2016,"BE","Limited liability enterprise",399359
"30",2017,"BE","Limited liability enterprise",409104
"31",2018,"BE","Limited liability enterprise",398478
"32",2019,"BE","Limited liability enterprise",416485
"33",2020,"BE","Limited liability enterprise",430095
"34",2008,"BG","Limited liability enterprise",140327
"35",2009,"BG","Limited liability enterprise",183482
"36",2010,"BG","Limited liability enterprise",193019
"37",2011,"BG","Limited liability enterprise",200668
"38",2012,"BG","Limited liability enterprise",214198
"39",2013,"BG","Limited liability enterprise",226214
"40",2014,"BG","Limited liability enterprise",237966
"41",2015,"BG","Limited liability enterprise",250423
"42",2016,"BG","Limited liability enterprise",264986
"43",2017,"BG","Limited liability enterprise",271368
"44",2018,"BG","Limited liability enterprise",281772
"45",2019,"BG","Limited liability enterprise",285113
"46",2020,"BG","Limited liability enterprise",282130
"47",2013,"CH","Limited liability enterprise",195117
"48",2014,"CH","Limited liability enterprise",200325
"49",2015,"CH","Limited liability enterprise",206329
"50",2016,"CH","Limited liability enterprise",210827
"51",2017,"CH","Limited liability enterprise",216048
"52",2018,"CH","Limited liability enterprise",219244
"53",2019,"CH","Limited liability enterprise",224738
"54",2020,"CH","Limited liability enterprise",228995
"55",2008,"CY","Limited liability enterprise",31666
"56",2009,"CY","Limited liability enterprise",31989
"57",2010,"CY","Limited liability enterprise",31514
"58",2011,"CY","Limited liability enterprise",32095
"59",2012,"CY","Limited liability enterprise",31831
"60",2013,"CY","Limited liability enterprise",30462
"61",2014,"CY","Limited liability enterprise",30362
"62",2015,"CY","Limited liability enterprise",30688
"63",2016,"CY","Limited liability enterprise",31661
"64",2017,"CY","Limited liability enterprise",33542
"65",2018,"CY","Limited liability enterprise",32640
"66",2019,"CY","Limited liability enterprise",37822
"67",2020,"CY","Limited liability enterprise",38690
"68",2008,"CZ","Limited liability enterprise",168102
"69",2009,"CZ","Limited liability enterprise",180965
"70",2010,"CZ","Limited liability enterprise",193475
"71",2011,"CZ","Limited liability enterprise",204848
"72",2012,"CZ","Limited liability enterprise",213828
"73",2013,"CZ","Limited liability enterprise",220715
"74",2014,"CZ","Limited liability enterprise",233057
"75",2015,"CZ","Limited liability enterprise",235940
"76",2016,"CZ","Limited liability enterprise",247160
"77",2017,"CZ","Limited liability enterprise",257208
"78",2018,"CZ","Limited liability enterprise",268640
"79",2019,"CZ","Limited liability enterprise",279705
"80",2020,"CZ","Limited liability enterprise",287537
"81",2008,"DE","Limited liability enterprise",564821
"82",2009,"DE","Limited liability enterprise",572633
"83",2010,"DE","Limited liability enterprise",584036
"84",2011,"DE","Limited liability enterprise",593856
"85",2012,"DE","Limited liability enterprise",607263
"86",2013,"DE","Limited liability enterprise",595151
"87",2014,"DE","Limited liability enterprise",605659
"88",2015,"DE","Limited liability enterprise",601645
"89",2016,"DE","Limited liability enterprise",612705
"90",2017,"DE","Limited liability enterprise",622831
"91",2018,"DE","Limited liability enterprise",570711
"92",2019,"DE","Limited liability enterprise",624689
"93",2020,"DE","Limited liability enterprise",625719
"94",2009,"DK","Limited liability enterprise",97546
"95",2010,"DK","Limited liability enterprise",100864
"96",2011,"DK","Limited liability enterprise",103806
"97",2012,"DK","Limited liability enterprise",105440
"98",2013,"DK","Limited liability enterprise",106566
"99",2014,"DK","Limited liability enterprise",109795
"100",2015,"DK","Limited liability enterprise",112205
"101",2016,"DK","Limited liability enterprise",118142
"102",2017,"DK","Limited liability enterprise",124483
"103",2018,"DK","Limited liability enterprise",129060
"104",2019,"DK","Limited liability enterprise",133122
"105",2020,"DK","Limited liability enterprise",136331
"106",2008,"EE","Limited liability enterprise",54442
"107",2009,"EE","Limited liability enterprise",54838
"108",2010,"EE","Limited liability enterprise",56295
