"iso2","year","number_firms"
"AD",2000,10
"AD",2001,10
"AD",2002,11
"AD",2003,11
"AD",2004,11
"AD",2005,11
"AD",2006,11
"AD",2007,11
"AD",2008,11
"AD",2009,11
"AD",2010,11
"AD",2011,11
"AD",2012,11
"AD",2013,11
"AD",2014,11
"AD",2015,11
"AD",2016,11
"AD",2017,11
"AD",2018,11
"AD",2019,11
"AD",2020,10
"AD",2021,10
"AD",2022,10
"AE",2000,140810
"AE",2001,152057
"AE",2002,165933
"AE",2003,182399
"AE",2004,200726
"AE",2005,219926
"AE",2006,241336
"AE",2007,265937
"AE",2008,291678
"AE",2009,313282
"AE",2010,338210
"AE",2011,364205
"AE",2012,393366
"AE",2013,421978
"AE",2014,454643
"AE",2015,488928
"AE",2016,522718
"AE",2017,556016
"AE",2018,594733
"AE",2019,658723
"AE",2020,666405
"AE",2021,675853
"AE",2022,675709
"AF",2000,11
"AF",2001,13
"AF",2002,16
"AF",2003,19
"AF",2004,21
"AF",2005,23
"AF",2006,26
"AF",2007,27
"AF",2008,27
"AF",2009,29
"AF",2010,9189
"AF",2011,11492
"AF",2012,11504
"AF",2013,11504
"AF",2014,11504
"AF",2015,11504
"AF",2016,11504
"AF",2017,11504
"AF",2018,11504
"AF",2019,11504
"AF",2020,11504
"AF",2021,11504
"AF",2022,11504
"AG",2000,7
"AG",2001,7
"AG",2002,7
"AG",2003,7
"AG",2004,7
"AG",2005,7
"AG",2006,8
"AG",2007,8
"AG",2008,8
"AG",2009,8
"AG",2010,8
"AG",2011,8
"AG",2012,8
"AG",2013,8
"AG",2014,8
"AG",2015,8
"AG",2016,8
"AG",2017,8
"AG",2018,8
"AG",2019,8
"AG",2020,8
"AG",2021,8
"AG",2022,8
"AL",2000,16631
"AL",2001,18800
"AL",2002,20822
"AL",2003,27622
"AL",2004,30805
"AL",2005,33971
"AL",2006,38823
"AL",2007,43541
"AL",2008,47764
"AL",2009,50681
"AL",2010,53978
"AL",2011,57298
"AL",2012,60801
"AL",2013,62530
"AL",2014,67250
"AL",2015,96654
"AL",2016,111482
"AL",2017,128489
"AL",2018,138784
"AL",2019,130090
"AL",2020,142977
"AL",2021,158742
"AL",2022,164713
"AM",2000,62195
"AM",2001,67550
"AM",2002,74705
"AM",2003,83208
"AM",2004,90779
"AM",2005,98651
"AM",2006,108175
"AM",2007,122381
"AM",2008,139544
"AM",2009,152113
"AM",2010,164597
"AM",2011,177326
"AM",2012,193619
"AM",2013,210501
"AM",2014,227071
"AM",2015,244545
"AM",2016,261057
"AM",2017,280211
"AM",2018,303132
"AM",2019,325197
"AM",2020,349030
"AM",2021,325353
"AM",2022,279491
"AO",2000,227
"AO",2001,253
"AO",2002,273
"AO",2003,292
"AO",2004,318
"AO",2005,355
"AO",2006,381
"AO",2007,399
"AO",2008,418
"AO",2009,425
"AO",2010,428
"AO",2011,430
"AO",2012,431
"AO",2013,434
"AO",2014,434
"AO",2015,437
"AO",2016,438
"AO",2017,438
"AO",2018,439
"AO",2019,440
"AO",2020,440
"AO",2021,440
"AO",2022,440
"AR",2000,4141
"AR",2001,4290
"AR",2002,4414
"AR",2003,4541
"AR",2004,4674
"AR",2005,4779
"AR",2006,4887
"AR",2007,4980
"AR",2008,5038
"AR",2009,5095
"AR",2010,5152
"AR",2011,5188
"AR",2012,5225
"AR",2013,5243
"AR",2014,5253
"AR",2015,5262
"AR",2016,5285
"AR",2017,5301
"AR",2018,5233
"AR",2019,5240
"AR",2020,5240
"AR",2021,5241
"AR",2022,5240
"AT",2000,127843
"AT",2001,138350
"AT",2002,149471
"AT",2003,161452
"AT",2004,174573
"AT",2005,189643
"AT",2006,204741
"AT",2007,222017
"AT",2008,267276
"AT",2009,289459
"AT",2010,312384
"AT",2011,335547
"AT",2012,361178
"AT",2013,392483
"AT",2014,425473
"AT",2015,459325
"AT",2016,491355
"AT",2017,524101
"AT",2018,557794
"AT",2019,595195
"AT",2020,619049
"AT",2021,651170
"AT",2022,653599
"AU",2000,791070
"AU",2001,846120
"AU",2002,920166
"AU",2003,1009337
"AU",2004,1107710
"AU",2005,1205320
"AU",2006,1273965
"AU",2007,1389729
"AU",2008,1482476
"AU",2009,1574758
"AU",2010,1668758
"AU",2011,1764198
"AU",2012,1870327
"AU",2013,1988938
"AU",2014,2129366
"AU",2015,2317358
"AU",2016,2529782
"AU",2017,2643242
"AU",2018,2743210
"AU",2019,2833400
"AU",2020,2930540
"AU",2021,3099302
"AU",2022,3084472
"AZ",2000,14536
"AZ",2001,16092
"AZ",2002,17944
"AZ",2003,20423
"AZ",2004,24747
"AZ",2005,29400
"AZ",2006,33480
"AZ",2007,37664
