iso2,year,gdp,population
AF,1960,,8622466
AO,1960,,5357195
AL,1960,,1608800
AD,1960,,9443
AE,1960,,133426
AR,1960,,20349744
AM,1960,,1904148
AG,1960,,55342
AU,1960,,10276477
AT,1960,,7047539
AZ,1960,,3894500
BI,1960,,2746628
BE,1960,,9153489
BJ,1960,,2512284
BF,1960,,4783259
BD,1960,,50396429
BG,1960,,7867374
BH,1960,,160691
BS,1960,,114500
BA,1960,,3262539
BY,1960,,8198000
BZ,1960,,91403
BO,1960,,3707515
BR,1960,,73092515
BB,1960,,232550
BN,1960,,85346
BT,1960,,221266
BW,1960,,512865
CF,1960,,1679728
CA,1960,,17909356
CH,1960,,5327827
CL,1960,,8141820
CN,1960,,667070000
CI,1960,,3708661
CM,1960,,5117608
CD,1960,,15276558
CG,1960,,1055693
CO,1960,,15687688
KM,1960,,194852
CV,1960,,209849
CR,1960,,1346302
CU,1960,,7267395
CY,1960,,585725
CZ,1960,,9602006
DE,1960,,72814900
DJ,1960,,85940
DM,1960,,59379
DK,1960,,4579603
DO,1960,,3298021
DZ,1960,,11394307
EC,1960,,4618158
EG,1960,,27034499
ER,1960,,993568
ES,1960,,30455000
EE,1960,,1211537
ET,1960,,21739710
FI,1960,,4429634
FJ,1960,,401841
FR,1960,,46649927
FM,1960,,42986
GA,1960,,513340
GB,1960,,52400000
GE,1960,,3645600
GH,1960,,6911510
GN,1960,,3516814
GM,1960,,399649
GW,1960,,577933
GQ,1960,,267351
GR,1960,,8331725
GD,1960,,93772
GT,1960,,4128880
GY,1960,,571990
HN,1960,,2078617
HR,1960,,4140181
HT,1960,,3901139
HU,1960,,9983967
ID,1960,,88382881
IN,1960,,445954579
IE,1960,,2828600
IR,1960,,21388806
IQ,1960,,7084678
IS,1960,,175574
IL,1960,,2114020
IT,1960,,50199700
JM,1960,,1642331
JO,1960,,847936
JP,1960,,93216000
KZ,1960,,9319283
KE,1960,,7751435
KG,1960,,2172300
KH,1960,,5541676
KI,1960,,47093
KN,1960,,56660
KR,1960,,25012374
KW,1960,,305415
LA,1960,,2122532
LB,1960,,1798092
LR,1960,,1137026
LY,1960,,1426986
LC,1960,,91614
LI,1960,,16472
LK,1960,,9874476
LS,1960,,737838
LT,1960,,2778550
LU,1960,,313970
LV,1960,,2120979
MA,1960,,11769774
MC,1960,,21797
MD,1960,,2074015
MG,1960,,5073342
MV,1960,,91650
MX,1960,,36268055
MH,1960,,15374
MK,1960,,1462368
ML,1960,,5346792
MT,1960,,326550
MM,1960,,21720697
ME,1960,,480579
MN,1960,,977903
MZ,1960,,6788375
MR,1960,,838478
MU,1960,,676683
MW,1960,,3621081
MY,1960,,7833782
NA,1960,,590181
NE,1960,,3497431
NG,1960,,44928342
NI,1960,,1789684
NL,1960,,11486631
