iso2,year,legal_form,number_firms_orbis,number_firms_eurostat,number_balance_sheets,number_income_statements,bs_share,is_share
AT,2010,Limited liability enterprise,115282,87701,110144,6744,0.95543103,0.058500026
AT,2010,"Partnership, co-operatives, associations, etc.",35984,49790,1235,58,0.034320809,0.001611827
AT,2010,Sole proprietorship,80749,289324,13,0,0.000160993,0
AT,2011,Limited liability enterprise,122584,87886,123659,6909,1.008769497,0.056361352
AT,2011,"Partnership, co-operatives, associations, etc.",38550,49983,1405,64,0.036446174,0.001660182
AT,2011,Sole proprietorship,85628,292427,16,0,0.000186855,0
AT,2012,Limited liability enterprise,130130,89614,127255,7133,0.977906709,0.054814416
AT,2012,"Partnership, co-operatives, associations, etc.",41211,50332,1544,78,0.037465725,0.001892699
AT,2012,Sole proprietorship,90910,292288,14,0,0.000153998,0
AT,2013,Limited liability enterprise,139372,93922,131719,7145,0.945089401,0.051265677
AT,2013,"Partnership, co-operatives, associations, etc.",43855,54077,1550,83,0.035343746,0.001892601
AT,2013,Sole proprietorship,96416,283681,13,0,0.000134832,0
AT,2014,Limited liability enterprise,146639,96266,137471,7383,0.937479115,0.050348134
AT,2014,"Partnership, co-operatives, associations, etc.",46638,51341,1552,80,0.033277585,0.001715339
AT,2014,Sole proprietorship,102093,272172,12,0,0.00011754,0
AT,2015,Limited liability enterprise,151423,98777,141806,6544,0.936489173,0.043216684
AT,2015,"Partnership, co-operatives, associations, etc.",49802,46690,1529,80,0.030701578,0.001606361
AT,2015,Sole proprietorship,108137,263732,11,1,0.000101723,9.25E-06
AT,2016,Limited liability enterprise,156305,99480,145657,5927,0.931876779,0.037919452
AT,2016,"Partnership, co-operatives, associations, etc.",52417,46921,1460,86,0.027853559,0.001640689
AT,2016,Sole proprietorship,113485,266449,13,6,0.000114553,5.29E-05
AT,2017,Limited liability enterprise,160725,100554,150308,6264,0.935187432,0.038973402
AT,2017,"Partnership, co-operatives, associations, etc.",55759,46338,1277,84,0.022902132,0.001506483
AT,2017,Sole proprietorship,119102,266271,10,4,8.40E-05,3.36E-05
AT,2018,Limited liability enterprise,167729,102466,155487,6541,0.927013218,0.03899743
AT,2018,"Partnership, co-operatives, associations, etc.",59089,46576,1226,95,0.020748363,0.001607744
AT,2018,Sole proprietorship,124412,268284,12,6,9.65E-05,4.82E-05
AT,2019,Limited liability enterprise,174699,104823,144492,6563,0.827091168,0.037567473
AT,2019,"Partnership, co-operatives, associations, etc.",62532,46493,1056,93,0.016887354,0.001487239
AT,2019,Sole proprietorship,129655,262583,10,5,7.71E-05,3.86E-05
AT,2020,Limited liability enterprise,182419,110943,146224,6200,0.801583168,0.033987688
AT,2020,"Partnership, co-operatives, associations, etc.",65457,47346,1002,84,0.015307759,0.001283285
AT,2020,Sole proprietorship,133530,260001,4,2,3.00E-05,1.50E-05
AT,2021,Limited liability enterprise,193303,NA,35685,1573,0.18460655,0.008137484
AT,2021,"Partnership, co-operatives, associations, etc.",68669,NA,191,16,0.002781459,0.000233002
AT,2021,Sole proprietorship,137393,NA,0,0,0,0
AT,2022,Limited liability enterprise,193970,NA,454,14,0.002340568,7.22E-05
AT,2022,"Partnership, co-operatives, associations, etc.",69785,NA,1,1,1.43E-05,1.43E-05
AT,2022,Sole proprietorship,138154,NA,0,0,0,0
BA,2010,Limited liability enterprise,19015,NA,25837,25835,1.358769393,1.358664212
BA,2010,"Partnership, co-operatives, associations, etc.",262,NA,289,289,1.103053435,1.103053435
BA,2010,Sole proprietorship,183,NA,194,194,1.06010929,1.06010929
BA,2011,Limited liability enterprise,19681,NA,25022,25015,1.271378487,1.271022814
BA,2011,"Partnership, co-operatives, associations, etc.",264,NA,252,252,0.954545455,0.954545455
BA,2011,Sole proprietorship,188,NA,6,6,0.031914894,0.031914894
BA,2012,Limited liability enterprise,20356,NA,26644,8886,1.308901552,0.43652977
BA,2012,"Partnership, co-operatives, associations, etc.",266,NA,269,129,1.011278195,0.484962406
BA,2012,Sole proprietorship,196,NA,6,6,0.030612245,0.030612245
BA,2013,Limited liability enterprise,20877,NA,27005,25756,1.293528764,1.23370216
BA,2013,"Partnership, co-operatives, associations, etc.",267,NA,258,250,0.966292135,0.936329588
BA,2013,Sole proprietorship,200,NA,5,5,0.025,0.025
BA,2014,Limited liability enterprise,21621,NA,25987,25979,1.201933306,1.201563295
BA,2014,"Partnership, co-operatives, associations, etc.",267,NA,249,249,0.93258427,0.93258427
BA,2014,Sole proprietorship,208,NA,3,3,0.014423077,0.014423077
BA,2015,Limited liability enterprise,24502,NA,27007,27001,1.102236552,1.101991674
BA,2015,"Partnership, co-operatives, associations, etc.",292,NA,258,258,0.883561644,0.883561644
BA,2015,Sole proprietorship,211,NA,993,993,4.706161137,4.706161137
BA,2016,Limited liability enterprise,26389,NA,27713,27704,1.05017242,1.049831369
BA,2016,"Partnership, co-operatives, associations, etc.",326,NA,261,261,0.800613497,0.800613497
BA,2016,Sole proprietorship,214,NA,867,867,4.051401869,4.051401869
BA,2017,Limited liability enterprise,28526,32422,26801,26788,0.939528851,0.939073126
BA,2017,"Partnership, co-operatives, associations, etc.",366,924,265,265,0.724043716,0.724043716
BA,2017,Sole proprietorship,222,41588,65,65,0.292792793,0.292792793
BA,2018,Limited liability enterprise,30440,32533,24544,24532,0.80630749,0.805913272
BA,2018,"Partnership, co-operatives, associations, etc.",368,937,190,190,0.516304348,0.516304348
BA,2018,Sole proprietorship,225,42418,851,851,3.782222222,3.782222222
BA,2019,Limited liability enterprise,32279,32079,25133,25121,0.778617677,0.778245918
BA,2019,"Partnership, co-operatives, associations, etc.",363,914,182,182,0.50137741,0.50137741
BA,2019,Sole proprietorship,229,42021,872,872,3.807860262,3.807860262
BA,2020,Limited liability enterprise,32977,NA,27208,27194,0.82505989,0.824635352
BA,2020,"Partnership, co-operatives, associations, etc.",371,NA,191,191,0.514824798,0.514824798
BA,2020,Sole proprietorship,231,NA,1146,1146,4.961038961,4.961038961
