"iso2","year","legal_form","number_firms_orbis","number_firms_eurostat","number_balance_sheets","number_income_statements","bs_share","is_share"
"AT",2010,"Limited liability enterprise",115282,87701,110176,8046,0.955708610190663,0.0697940701930917
"AT",2010,"Partnership, co-operatives, associations, etc.",35984,49790,1245,77,0.0345987105380169,0.00213983992885727
"AT",2010,"Sole proprietorship",80749,289324,13,0,0.000160992705792022,0
"AT",2011,"Limited liability enterprise",122584,87886,123693,8310,1.00904685766495,0.067790249951054
"AT",2011,"Partnership, co-operatives, associations, etc.",38550,49983,1407,83,0.0364980544747082,0.00215304798962387
"AT",2011,"Sole proprietorship",85628,292427,16,0,0.000186854767132246,0
"AT",2012,"Limited liability enterprise",130130,89614,127283,8401,0.978121878121878,0.0645585184046722
"AT",2012,"Partnership, co-operatives, associations, etc.",41211,50332,1546,96,0.0375142559025503,0.00232947514013249
"AT",2012,"Sole proprietorship",90910,292288,14,0,0.0001539984600154,0
"AT",2013,"Limited liability enterprise",139372,93922,131722,8447,0.945110926154464,0.0606075825847373
"AT",2013,"Partnership, co-operatives, associations, etc.",43855,54077,1552,102,0.0353893512712347,0.00232584653973321
"AT",2013,"Sole proprietorship",96416,283681,13,0,0.000134832392963823,0
"AT",2014,"Limited liability enterprise",146639,96266,137481,8417,0.937547310060761,0.0573994639897981
"AT",2014,"Partnership, co-operatives, associations, etc.",46638,51341,1553,102,0.0332990265448776,0.00218705776405506
"AT",2014,"Sole proprietorship",102093,272172,12,0,0.000117539890100203,0
"AT",2015,"Limited liability enterprise",151423,98777,141811,8344,0.93652219279766,0.0551039142006168
"AT",2015,"Partnership, co-operatives, associations, etc.",49802,46690,1529,100,0.0307015782498695,0.00200795148789205
"AT",2015,"Sole proprietorship",108137,263732,11,1,0.000101722814577804,9.24752859798219e-06
"AT",2016,"Limited liability enterprise",156305,99480,145659,8984,0.931889574869646,0.0574773679664758
"AT",2016,"Partnership, co-operatives, associations, etc.",52417,46921,1460,112,0.0278535589598794,0.00213671137226472
"AT",2016,"Sole proprietorship",113485,266449,13,6,0.000114552584041944,5.28704234039741e-05
"AT",2017,"Limited liability enterprise",160725,100554,150308,9223,0.935187431948981,0.0573837299735573
"AT",2017,"Partnership, co-operatives, associations, etc.",55759,46338,1277,99,0.0229021323911835,0.00177549812586309
"AT",2017,"Sole proprietorship",119102,266271,10,4,8.3961646319961e-05,3.35846585279844e-05
"AT",2018,"Limited liability enterprise",167729,102466,155487,9553,0.927013217750061,0.0569549690274192
"AT",2018,"Partnership, co-operatives, associations, etc.",59089,46576,1226,108,0.0207483626394083,0.0018277513581208
"AT",2018,"Sole proprietorship",124412,268284,12,6,9.64537182908401e-05,4.82268591454201e-05
"AT",2019,"Limited liability enterprise",174699,104823,144492,9523,0.827091168237941,0.0545109016079085
"AT",2019,"Partnership, co-operatives, associations, etc.",62532,46493,1056,105,0.0168873536749184,0.00167914028017655
"AT",2019,"Sole proprietorship",129655,262583,10,5,7.71277621379816e-05,3.85638810689908e-05
"AT",2020,"Limited liability enterprise",182419,110943,146224,9107,0.801583168419956,0.0499235277027064
"AT",2020,"Partnership, co-operatives, associations, etc.",65457,47346,1002,92,0.0153077592923599,0.00140550284919871
"AT",2020,"Sole proprietorship",133530,260001,4,2,2.99558151726204e-05,1.49779075863102e-05
"AT",2021,"Limited liability enterprise",193303,NA,35685,2402,0.18460655033807,0.0124260875413211
"AT",2021,"Partnership, co-operatives, associations, etc.",68669,NA,191,20,0.00278145888246516,0.000291252239001587
"AT",2021,"Sole proprietorship",137393,NA,0,0,0,0
"AT",2022,"Limited liability enterprise",193970,NA,454,18,0.00234056812909213,9.27978553384544e-05
"AT",2022,"Partnership, co-operatives, associations, etc.",69785,NA,1,1,1.43297270187003e-05,1.43297270187003e-05
"AT",2022,"Sole proprietorship",138154,NA,0,0,0,0
"BA",2010,"Limited liability enterprise",19015,NA,25837,25837,1.3587693925848,1.3587693925848
"BA",2010,"Partnership, co-operatives, associations, etc.",262,NA,289,289,1.1030534351145,1.1030534351145
"BA",2010,"Sole proprietorship",183,NA,194,194,1.06010928961749,1.06010928961749
"BA",2011,"Limited liability enterprise",19681,NA,25022,25022,1.2713784868655,1.2713784868655
"BA",2011,"Partnership, co-operatives, associations, etc.",264,NA,252,252,0.954545454545455,0.954545454545455
"BA",2011,"Sole proprietorship",188,NA,6,6,0.0319148936170213,0.0319148936170213
"BA",2012,"Limited liability enterprise",20356,NA,26645,26643,1.3089506779328,1.30885242680291
"BA",2012,"Partnership, co-operatives, associations, etc.",266,NA,269,269,1.01127819548872,1.01127819548872
"BA",2012,"Sole proprietorship",196,NA,6,6,0.0306122448979592,0.0306122448979592
"BA",2013,"Limited liability enterprise",20877,NA,27005,27003,1.29352876371126,1.29343296450639
"BA",2013,"Partnership, co-operatives, associations, etc.",267,NA,258,258,0.966292134831461,0.966292134831461
"BA",2013,"Sole proprietorship",200,NA,5,5,0.025,0.025
"BA",2014,"Limited liability enterprise",21621,NA,25987,25986,1.20193330558254,1.20188705425281
"BA",2014,"Partnership, co-operatives, associations, etc.",267,NA,249,249,0.932584269662921,0.932584269662921
"BA",2014,"Sole proprietorship",208,NA,3,3,0.0144230769230769,0.0144230769230769
"BA",2015,"Limited liability enterprise",24502,NA,27007,27007,1.10223655211819,1.10223655211819
"BA",2015,"Partnership, co-operatives, associations, etc.",292,NA,258,258,0.883561643835616,0.883561643835616
"BA",2015,"Sole proprietorship",211,NA,993,993,4.70616113744076,4.70616113744076
