regulation_ID	effect	regulation_summary	effective_date	defunct_date
AT_1	Balance sheet disclosure	"Limited liability companies (AG, GmbH, OHG, KG) generally have to disclose a balance sheet)."	NA	NA
AT_2	Income statement disclosure	"Limited liability companies (AG, GmbH, OHG, KG) have to disclose a income statement if they meet two of three size criteria for two successive balance sheet dates ('Mittelgroße Kapitalgesellschaften')"	NA	20.07.2015
AT_3	Income statement disclosure	"Limited liability companies (AG, GmbH, OHG, KG) have to disclose a income statement if they meet two of three size criteria for two successive balance sheet dates ('Mittelgroße Kapitalgesellschaften')"	21.07.2015	NA
AT_4	Balance sheet disclosure	Certain partnerships ('Genossenschaften') have to disclose a balance sheets. 	NA	NA
AT_5	Income statement disclosure	Certain partnerships ('Genossenschaften') have to disclose an incomestatement if they meet two of three size criteria for two successive balance sheet dates ('Mittelgroße Kapitalgesellschaften')	NA	20.07.2015
AT_6	Income statement disclosure	Certain partnerships ('Genossenschaften') have to disclose an incomestatement if they meet two of three size criteria for two successive balance sheet dates ('Mittelgroße Kapitalgesellschaften')	21.07.2015	NA
AT_7	Balance sheet disclosure	Sole proprietorships generally do not have to disclose their balance sheets.	NA	NA
AT_8	Income statement disclosure	Sole proprietorships generally do not have to disclose their income statements.	NA	NA
BE_1	Balance sheet disclosure	"All limited liability companies (SA, SCA, SPRL) have to disclose a balance sheet."	NA	NA
BE_2	Balance sheet disclosure	Certain partnerships ('Société Co-operative') have to make use of double entry bookkeeping and disclose their financial statement	NA	NA
BE_3	Balance sheet disclosure	Sole proprietorships generally do not have to disclose their balance sheets.	NA	NA
BE_4	Income statement disclosure	"Limited liability companies (SA, SCA, SPRL) have to disclose an income statement."	NA	NA
BE_5	Income statement disclosure	Certain partnerships ('Société Co-operative') have to disclose an income statement	NA	NA
BE_6	Income statement disclosure	Sole proprietorships generally do not have to disclose an income statement.	NA	NA
CZ_1	Balance sheet disclosure	"All limited liability companies (a.s., s.r.o.) have to disclose a balance sheet."	NA	NA
CZ_2	Balance sheet disclosure	"All partnerships companies (v.o.s, k.s.) have to disclose a balance sheet."	NA	NA
CZ_3	Balance sheet disclosure	Sole proprietorships have to prepare and disclose a balance sheet if they meet a certain threshold.	NA	NA
CZ_4	Income statement disclosure	"All limited liability companies (a.s., s.r.o.) have to disclose an income statement."	NA	NA
CZ_5	Income statement disclosure	"All partnerships companies (v.o.s, k.s.) have to disclose an income statement."	NA	NA
