regulation_ID,criterion,value,rule_description
AT_1,NA,NA,All
AT_2,Total Assets,19250000 [EUR],2 out of 3
AT_2,Turnover,38500000 [EUR],2 out of 3
AT_2,Employees,250 [Employees],2 out of 3
AT_3,Total Assets,20000000 [EUR],2 out of 3
AT_3,Turnover,40000000 [EUR],2 out of 3
AT_3,Employees,250 [Employees],2 out of 3
AT_4,National legal form,Genossenschaften ,necessary
AT_5,National legal form,Genossenschaften ,necessary
AT_5,Total Assets,19250000 [EUR],2 out of 3
AT_5,Turnover,38500000 [EUR],2 out of 3
AT_5,Employees,250 [Employees],2 out of 3
AT_6,National legal form,Genossenschaften ,necessary
AT_6,Total Assets,20000000 [EUR],2 out of 3
AT_6,Turnover,40000000 [EUR],2 out of 3
AT_6,Employees,250 [Employees],2 out of 3
AT_7,NA,NA,None
AT_8,NA,NA,None
BE_1 ,NA,NA,all 
BE_2,National legal form,Société Co-operative,necessary 
BE_3,NA,NA,None
BE_4,NA,NA,All
BE_5,National legal form,Société Co-operative,necessary 
CZ_1,NA,NA,all 
CZ_2,NA,NA,all 
CZ_3,Turnover,25000000 [CZK],necessary 
CZ_4,NA,NA,all 
CZ_5,NA,NA,all 
CZ_6,Turnover,25000000 [CZK],necessary 
DK_1,NA,NA,all
DK_2,Type of partner,All liable  partners are limited liability companies. ,necessary
DK_3,National legal form,Andelsselskaber,necessary 
DK_3,Turnover,14000000 [DKK],2 out of 3
DK_3,Total Assets,7000000 [DKK],2 out of 3
DK_3,Employees,10 [Employees],2 out of 3
DK_4,NA,NA,none
DK_5,NA,NA,all
DK_6,Type of partner,All liable  partners are limited liability companies. ,necessary
DK_7,National legal form,Andelsselskaber,necessary 
DK_7,Turnover,14000000 [DKK],2 out of 3
DK_7,Total Assets,7000000 [DKK],2 out of 3
DK_7,Employees,10 [Employees],2 out of 3
DK_8,NA,NA,none
EE_1,NA,NA,all
EE_2,National legal form,Tulundusühistu,necessary 
EE_3,Type of partner,All liable  partners are limited liability companies. ,necessary 
EE_4,NA,NA,none
EE_5,NA,NA,all
EE_6,National legal form,Tulundusühistu,necessary 
EE_7,Type of partner,All liable  partners are limited liability companies. ,necessary 
EE_8,NA,NA,none
FR_1,NA,NA,All
FR_2,Total Assets,350000 [EUR],1 out of 3
FR_2,Turnover ,700000 [EUR],1 out of 3
FR_2,Employees,10 [Employees],1 out of 3
FR_3 ,Type of partner,All liable  partners are limited liability companies or joint-stock companies ,necessary 
FR_4,Type of partner,All liable  partners are limited liability companies or joint-stock companies ,necessary 
FR_4,Total Assets,350000 [EUR],1 out of 3
FR_4,Turnover ,700000 [EUR],1 out of 3
FR_4,Employees,10 [Employees],1 out of 3
FR_5,NA,NA,none
FR_6,NA,NA,All
FR_7,Total Assets,350000 [EUR],1 out of 3
FR_7,Turnover ,700000 [EUR],1 out of 3
FR_7,Employees,10 [Employees],1 out of 3
FR_8,Type of partner,All liable  partners are limited liability companies or joint-stock companies ,necessary 
FR_9,Type of partner,All liable  partners are limited liability companies or joint-stock companies ,necessary 
FR_9,Total Assets,350000 [EUR],1 out of 3
FR_9,Turnover ,700000 [EUR],1 out of 3
FR_9,Employees,10 [Employees],1 out of 3
FR_10,NA,NA,none
DE_1,NA,NA,All
DE_2,Total Assets,350000 [EUR],2 out of 3
DE_2,Turnover ,700000 [EUR],2 out of 3
DE_2,Employees,10 [Employees],2 out of 3
DE_3 ,Type of partner,All liable  partners are limited liability companies. ,necessary 
DE_4,Type of partner,All liable  partners are limited liability companies. ,necessary 
DE_4,Total Assets,350000 [EUR],2 out of 3
DE_4,Turnover ,700000 [EUR],2 out of 3
DE_4,Employees,10 [Employees],2 out of 3
DE_5,NA,NA,none
DE_6,Total Assets,6000000 [EUR],2 out of 3
DE_6,Turnover ,12000000 [EUR],2 out of 3
DE_6,Employees,50 [Employees],2 out of 3
DE_7,Type of partner,All liable  partners are limited liability companies or joint-stock companies ,necessary 
DE_7,Total Assets,6000000 [EUR],2 out of 3
DE_7,Turnover ,12000000 [EUR],2 out of 3
DE_7,Employees,50 [Employees],2 out of 3
DE_8 ,NA,NA,none
GR_1,NA,NA,all
GR_2,Type of partner,All liable  partners are limited liability companies or joint-stock companies ,necessary 
GR_3,NA,NA,none
GR_4,NA,NA,all
GR_5,Type of partner,All liable  partners are limited liability companies or joint-stock companies ,necessary 
GR_6,NA,NA,none
IT_1,NA,NA,all
IT_2,National legal form,Cooperativa,necessary 
IT_3,NA,NA,none
IT_4,NA,NA,all
IT_5,Type of partner,Cooperativa,necessary 
IT_6,NA,NA,none
LT_1,NA,NA,all
LT_2,NA,NA,all
LT_3,NA,NA,none
LT_4,NA,NA,all
LT_5,NA,NA,all
LT_6,NA,NA,none
NL_1,NA,NA,all
NL_2,National legal form,Cooperatie,necessary 
NL_3,Type of partner,All liable  partners are limited liability companies or joint-stock companies ,necessary 
NL_4,NA,NA,none
NL_5,Total Assets,6000000 [EUR],2 out of 3
NL_5,Turnover ,12000000 [EUR],2 out of 3
NL_5,Employees,50 [Employees],2 out of 3
NL_6,National legal form,Cooperatie,necessary 
NL_6,Total Assets,6000000 [EUR],2 out of 3
NL_6,Turnover ,12000000 [EUR],2 out of 3
NL_6,Employees,50 [Employees],2 out of 3
NL_7,Type of partner,All liable  partners are limited liability companies or joint-stock companies ,necessary 
NL_7,Total Assets,6000000 [EUR],2 out of 3
NL_7,Turnover ,12000000 [EUR],2 out of 3
NL_7,Employees,50 [Employees],2 out of 3
NL_8,NA,NA,none
PL_1,NA,NA,all
PL_2,National legal form,Spoldzielnia,1 out of 2
PL_2,National legal form,Spolka komandytowa,1 out of 2
PL_3,National legal form,Spolka jawna,2 out of 2
PL_3,Turnover, 1200000 [EUR],2 out of 2
PL_4,NA,NA,none
PL_5,NA,NA,all
PL_6,National legal form,Spoldzielnia,1 out of 2
PL_6,National legal form,Spolka komandytowa,1 out of 2
PL_7,National legal form,Spolka jawna,2 out of 2
PL_7,Turnover, 1200000 [EUR],2 out of 2
PL_8,NA,NA,none
PT_1,NA,NA,all
PT_2,Type of partner,All liable  partners are limited liability companies. ,
PT_2,Total Assets,1500000 [EUR],2 out of 3
PT_2,Turnover ,3000000 [EUR],2 out of 3
PT_2,Employees,50 [Employees],2 out of 3
PT_3,NA,NA,none
PT_4,NA,NA,all
PT_5,Type of partner,All liable  partners are limited liability companies. ,
PT_5,Total Assets,1500000 [EUR],2 out of 3
PT_5,Turnover ,3000000 [EUR],2 out of 3
PT_5,Employees,50 [Employees],2 out of 3
PT_6,NA,NA,none
RO_1,NA,NA,all
RO_2,NA,NA,all
RO_3,NA,NA,none
RO_4,NA,NA,all
RO_5,NA,NA,all
RO_6,NA,NA,none
SE_1,NA,NA,all
SE_2,Type of partner,Legal person,necessary
SE_3,NA,NA,none
SE_4,NA,NA,all
SE_5,Type of partner,Legal person,necessary
SE_6,NA,NA,none
SK_1,NA,NA,all
SK_2,NA,NA,all
SK_3,NA,NA,none
SK_4,NA,NA,all
SK_5,NA,NA,all
SK_6,NA,NA,none
SI_1,NA,NA,all
SI_2,NA,NA,all
SI_3,NA,NA,all
SI_4,NA,NA,all
SI_5,NA,NA,all
SI_6,NA,NA,all
ES_1,NA,NA,all
ES_2,NA,NA,all
ES_3,NA,NA,all
ES_4,NA,NA,all
ES_5,NA,NA,all
ES_6,NA,NA,all
CY_1,NA,NA,all
CY_2,Type of partner,All liable  partners are limited liability companies or joint-stock companies ,necessary 
CY_3,NA,NA,none
CY_4,NA,NA,all
CY_5,Type of partner,All liable  partners are limited liability companies or joint-stock companies ,necessary 
CY_6,NA,NA,none
HU_1,NA,NA,all
HU_2,National legal form,Polgári jogi társaság,necessary 
HU_3,NA,NA,none
HU_4,NA,NA,all
HU_5,National legal form,Polgári jogi társaság,necessary 
HU_6,NA,NA,none
FI_1,NA,NA,all
FI_2,Total Assets,350000 [EUR],2 out of 3
FI_2,Turnover ,700000 [EUR],2 out of 3
FI_2,Employees,10 [Employees],2 out of 3
FI_3,Total Assets,350000 [EUR],2 out of 3
FI_3,Turnover ,700000 [EUR],2 out of 3
FI_3,Employees,10 [Employees],2 out of 3
FI_4,NA,NA,all
FI_5,Total Assets,350000 [EUR],2 out of 3
FI_5,Turnover ,700000 [EUR],2 out of 3
FI_5,Employees,10 [Employees],2 out of 3
FI_6,Total Assets,350000 [EUR],2 out of 3
FI_6,Turnover ,700000 [EUR],2 out of 3
FI_6,Employees,10 [Employees],2 out of 3
IE_1,NA,NA,all
IE_2,NA,NA,all
IE_3,NA,NA,none
IE_4,Total Assets,4400000 [EUR],2 out of 3
IE_4,Turnover ,8800000 [EUR],2 out of 3
IE_4,Employees,50 [Employees],2 out of 3
IE_5,Total Assets,4400000 [EUR],2 out of 3
IE_5,Turnover ,8800000 [EUR],2 out of 3
IE_5,Employees,50 [Employees],2 out of 3
IE_6,NA,NA,none
HR_1,NA,NA,all
HR_2,NA,NA,all
HR_3,NA,NA,none
HR_4,NA,NA,all
HR_5,NA,NA,all
HR_6,NA,NA,none
LV_1,NA,NA,all
LV_2,NA,NA,all
LV_3,NA,NA,none
LV_4,NA,NA,all
LV_5,NA,NA,all
LV_6,NA,NA,none
MT_1,NA,NA,all
MT_2,NA,NA,all
MT_3,NA,NA,none
MT_4,NA,NA,all
MT_5,NA,NA,all
MT_6,NA,NA,none
LU_1,NA,NA,all
