iso2,year,legal_form,number_firms_orbis,number_firms_eurostat,number_firms_worldbank,number_balance_sheets,number_income_statements,bs_share,is_share
AT,2010,partnerships,35984,49790,NA,1245,77,0.034598711,0.00213984
AT,2010,private_limited_liability,114204,87701,81688,109316,7295,0.957199398,0.063876922
AT,2010,public_limited_liability,1078,NA,NA,860,751,0.797773655,0.696660482
AT,2010,sole_proprietorships,80749,289324,NA,13,0,0.000160993,0
AT,2011,partnerships,38550,49983,NA,1407,83,0.036498054,0.002153048
AT,2011,private_limited_liability,121474,87886,83451,122846,7556,1.011294598,0.062202611
AT,2011,public_limited_liability,1110,NA,NA,847,754,0.763063063,0.679279279
AT,2011,sole_proprietorships,85628,292427,NA,16,0,0.000186855,0
AT,2012,partnerships,41211,50332,NA,1546,96,0.037514256,0.002329475
AT,2012,private_limited_liability,128992,89614,85390,126457,7659,0.980347618,0.059375775
AT,2012,public_limited_liability,1138,NA,NA,826,742,0.725834798,0.65202109
AT,2012,sole_proprietorships,90910,292288,NA,14,0,0.000153998,0
AT,2013,partnerships,43855,54077,NA,1552,102,0.035389351,0.002325847
AT,2013,private_limited_liability,138211,93922,87913,130917,7716,0.947225619,0.055827684
AT,2013,public_limited_liability,1161,NA,NA,805,731,0.693367786,0.62962963
AT,2013,sole_proprietorships,96416,283681,NA,13,0,0.000134832,0
AT,2014,partnerships,46638,51341,NA,1553,102,0.033299027,0.002187058
AT,2014,private_limited_liability,145468,96266,91646,136695,7702,0.939691204,0.052946352
AT,2014,public_limited_liability,1171,NA,NA,786,715,0.671221178,0.61058924
AT,2014,sole_proprietorships,102093,272172,NA,12,0,0.00011754,0
AT,2015,partnerships,49802,46690,NA,1529,100,0.030701578,0.002007951
AT,2015,private_limited_liability,150263,98777,94272,141026,7642,0.938527781,0.050857497
AT,2015,public_limited_liability,1160,NA,NA,785,702,0.676724138,0.605172414
AT,2015,sole_proprietorships,108137,263732,NA,11,1,0.000101723,9.25E-06
AT,2016,partnerships,52417,46921,NA,1460,112,0.027853559,0.002136711
AT,2016,private_limited_liability,155163,99480,96503,144890,8262,0.933792206,0.05324723
AT,2016,public_limited_liability,1142,NA,NA,769,722,0.673380035,0.632224168
AT,2016,sole_proprietorships,113485,266449,NA,13,6,0.000114553,5.29E-05
AT,2017,partnerships,55759,46338,NA,1277,99,0.022902132,0.001775498
AT,2017,private_limited_liability,159593,100554,99056,149564,8509,0.937158898,0.053316875
AT,2017,public_limited_liability,1132,NA,NA,744,714,0.657243816,0.630742049
AT,2017,sole_proprietorships,119102,266271,NA,10,4,8.40E-05,3.36E-05
AT,2018,partnerships,59089,46576,NA,1226,108,0.020748363,0.001827751
AT,2018,private_limited_liability,166603,102466,101983,154757,8852,0.928896839,0.053132297
AT,2018,public_limited_liability,1126,NA,NA,730,701,0.648312611,0.622557726
AT,2018,sole_proprietorships,124412,268284,NA,12,6,9.65E-05,4.82E-05
AT,2019,partnerships,62532,46493,NA,1056,105,0.016887354,0.00167914
AT,2019,private_limited_liability,173568,104823,104991,143804,8848,0.828516777,0.050977139
AT,2019,public_limited_liability,1131,NA,NA,688,675,0.608311229,0.596816976
AT,2019,sole_proprietorships,129655,262583,NA,10,5,7.71E-05,3.86E-05
AT,2020,partnerships,65457,47346,NA,1002,92,0.015307759,0.001405503
AT,2020,private_limited_liability,181286,110943,108825,145580,8473,0.8030405,0.046738303
AT,2020,public_limited_liability,1133,NA,NA,644,634,0.568402471,0.559576346
AT,2020,sole_proprietorships,133530,260001,NA,4,2,3.00E-05,1.50E-05
AT,2021,partnerships,68669,NA,NA,191,20,0.002781459,0.000291252
AT,2021,private_limited_liability,192167,NA,NA,35491,2210,0.184688318,0.011500414
AT,2021,public_limited_liability,1136,NA,NA,194,192,0.170774648,0.169014085
AT,2021,sole_proprietorships,137393,NA,NA,0,0,0,0
AT,2022,partnerships,69785,NA,NA,1,1,1.43E-05,1.43E-05
AT,2022,private_limited_liability,192849,NA,NA,451,15,0.002338617,7.78E-05
AT,2022,public_limited_liability,1121,NA,NA,3,3,0.002676182,0.002676182
AT,2022,sole_proprietorships,138154,NA,NA,0,0,0,0
AU,2010,partnerships,272,NA,NA,8,6,0.029411765,0.022058824
AU,2010,private_limited_liability,1644284,NA,1778452,2209,1368,0.001343442,0.000831973
AU,2010,public_limited_liability,17844,NA,NA,1942,1716,0.1088321,0.096166779
AU,2010,sole_proprietorships,811,NA,NA,1,0,0.001233046,0
AU,2011,partnerships,276,NA,NA,6,5,0.02173913,0.018115942
AU,2011,private_limited_liability,1738694,NA,1854241,2490,1696,0.001432109,0.000975445
AU,2011,public_limited_liability,18548,NA,NA,2080,1886,0.112141471,0.101682122
AU,2011,sole_proprietorships,829,NA,NA,7,0,0.008443908,0
AU,2012,partnerships,276,NA,NA,2,2,0.007246377,0.007246377
AU,2012,private_limited_liability,1843817,NA,1938110,3980,3675,0.002158566,0.001993148
AU,2012,public_limited_liability,19224,NA,NA,2764,2684,0.14377861,0.139617145
AU,2012,sole_proprietorships,837,NA,NA,1,0,0.001194743,0
AU,2013,partnerships,276,NA,NA,3,3,0.010869565,0.010869565
AU,2013,private_limited_liability,1961509,NA,2036459,8540,8521,0.004353791,0.004344104
AU,2013,public_limited_liability,19808,NA,NA,6322,6313,0.319163974,0.318709612
AU,2013,sole_proprietorships,841,NA,NA,2,1,0.002378121,0.001189061
AU,2014,partnerships,272,NA,NA,6,6,0.022058824,0.022058824
AU,2014,private_limited_liability,2100988,NA,2150464,10130,10119,0.004821541,0.004816305
