regulation_id,legal_form,size_threshold
AT_1,public_limited_liability,No
AT_1,private_limited_liability,No
AT_1,partnerships,No
AT_2,public_limited_liability,No
AT_2,private_limited_liability,Yes
AT_2,partnerships,Yes
AT_3,public_limited_liability,No
AT_3,private_limited_liability,Yes
AT_3,partnerships,Yes
AT_4,private_limited_liability,Yes
AT_4,partnerships,Yes
AT_5,private_limited_liability,Yes
AT_5,partnerships,Yes
AT_6,private_limited_liability,Yes
AT_6,partnerships,Yes
AU_1,public_limited_liability,No
AU_1,private_limited_liability,Yes
AU_1,partnerships,Yes
AU_1,sole_proprietorships,Yes
AU_2,public_limited_liability,No
AU_2,private_limited_liability,Yes
AU_2,partnerships,Yes
AU_2,sole_proprietorships,Yes
AU_3,public_limited_liability,No
AU_3,private_limited_liability,Yes
AU_3,partnerships,Yes
AU_3,sole_proprietorships,Yes
AT_4,private_limited_liability,Yes
AT_4,partnerships,Yes
AT_4,sole_proprietorships,Yes
BE_1,public_limited_liability,No
BE_1,private_limited_liability,No
BE_1,partnerships,No
BE_2,public_limited_liability,No
BE_2,private_limited_liability,No
BE_2,partnerships,No
BE_3,public_limited_liability,No
BE_3,private_limited_liability,Yes
BE_3,partnerships,Yes
BE_4,private_limited_liability,Yes
BE_4,partnerships,Yes
BG_1,public_limited_liability,No
BG_1,private_limited_liability,No
BG_1,partnerships,No
BG_1,sole_proprietorships,No
BG_2,public_limited_liability,No
BG_2,private_limited_liability,No
BG_2,partnerships,No
BG_2,sole_proprietorships,No
BG_3,public_limited_liability,No
BG_3,private_limited_liability,Yes
BG_3,partnerships,Yes
BG_3,sole_proprietorships,Yes
BG_4,private_limited_liability,Yes
BG_4,partnerships,Yes
BG_4,sole_proprietorships,Yes
BG_5,private_limited_liability,Yes
BG_5,partnerships,Yes
BG_5,sole_proprietorships,Yes
BG_6,private_limited_liability,Yes
BG_6,partnerships,Yes
BG_6,sole_proprietorships,Yes
CA_1,public_limited_liability,No
CA_2,public_limited_liability,No
CA_3,public_limited_liability,No
CH_1,public_limited_liability,No
CH_1,private_limited_liability,No
CH_1,partnerships,Yes
CH_1,sole_proprietorships,Yes
