norm_id,law_name,law_id,source_link,norm_name,norm_text
AT_norm_1,Unternehmensgesetzbuch,AT_UGB_2023,https://rdb.manz.at/home,� 277,"� 277. (1) Die gesetzlichen Vertreter von Kapitalgesellschaften haben den Jahresabschluss und den Lagebericht sowie gegebenenfalls den gesonderten nichtfinanziellen Bericht, den Corporate Governance-Bericht und den Bericht �ber Zahlungen an staatliche Stellen nach seiner Behandlung in der Hauptversammlung (Generalversammlung), jedoch sp�testens neun Monate nach dem Bilanzstichtag, mit dem Best�tigungsvermerk beim Firmenbuchgericht des Sitzes der Kapitalgesellschaft einzureichen; innerhalb derselben Frist sind der Bericht des Aufsichtsrats und der Beschluss �ber die Verwendung des Ergebnisses einzureichen. Werden zur Wahrung dieser Frist der Jahresabschluss und der Lagebericht sowie gegebenenfalls der gesonderte nichtfinanzielle Bericht, der Corporate Governance-Bericht und der Bericht �ber Zahlungen an staatliche Stellen ohne die anderen Unterlagen eingereicht, so sind der Bericht des Aufsichtsrats nach seinem Vorliegen, die Beschl�sse nach der Beschlussfassung und der Vermerk nach der Erteilung unverz�glich einzureichen. Wird der Jahresabschluss bei nachträglicher Prüfung oder Feststellung geändert, so ist auch diese Änderung einzureic"
AT_norm_2,Unternehmensgesetzbuch,AT_UGB_2023,https://rdb.manz.at/home,� 278,"� 278. (1) Auf kleine Gesellschaften mit beschr�nkter Haftung (� 221 Abs. 1) ist � 277 mit der Ma�gabe anzuwenden, dass die gesetzlichen Vertreter nur die Bilanz und den Anhang, bei Kleinstkapitalgesellschaften nur die Bilanz ohne die Angaben nach � 242 Abs. 1 erster Satz, einzureichen haben."
AT_norm_3,Unternehmensgesetzbuch,AT_UGB_2023,https://rdb.manz.at/home,� 268,"� 268. (1) Der Jahresabschlu� und der Lagebericht von Kapitalgesellschaften sind durch einen Abschlu�pr�fer zu pr�fen. Dies gilt nicht f�r kleine Gesellschaften mit beschr�nkter Haftung (� 221 Abs. 1), sofern diese nicht auf Grund gesetzlicher Vorschriften einen Aufsichtsrat haben m�ssen. Hat die erforderliche Pr�fung nicht stattgefunden, so kann der Jahresabschlu� nicht festgestellt werden. Umst�nde, die in einem Verfahren nach � 270 Abs. 3 geltend gemacht werden k�nnen, hindern die G�ltigkeit der Pr�fung nur, wenn ein solches Verfahren zur Bestellung eines anderen Abschlusspr�fers gef�hrt hat."
AT_norm_4,Unternehmensgesetzbuch,AT_UGB_2023,https://rdb.manz.at/home,� 221,"� 221. (1) Kleine Kapitalgesellschaften sind solche, die mindestens zwei der drei nachstehenden Merkmale nicht �berschreiten:
1. 5 Millionen Euro Bilanzsumme;
2. 10 Millionen Euro Umsatzerl�se in den zw�lf Monaten vor dem Abschlussstichtag;
3. im Jahresdurchschnitt 50 Arbeitnehmer.
(1a) Kleinstkapitalgesellschaften sind kleine Kapitalgesellschaften, die keine Investmentunternehmen oder Beteiligungsgesellschaften sind und mindestens zwei der drei nachstehenden Merkmale nicht �berschreiten:
1. 350.000 Euro Bilanzsumme;
2. 700.000 Euro Umsatzerl�se in den zw�lf Monaten vor dem Abschlussstichtag;
3. im Jahresdurchschnitt 10 Arbeitnehmer.
(2) Mittelgro�e Kapitalgesellschaften sind solche, die mindestens zwei der drei in Abs. 1 bezeichneten Merkmale �berschreiten und mindestens zwei der drei nachstehenden Merkmale nicht �berschreiten:
1. 20 Millionen Euro Bilanzsumme;
2. 40 Millionen Euro Umsatzerl�se in den zw�lf Monaten vor dem Abschlussstichtag;
3. im Jahresdurchschnitt 250 Arbeitnehmer.
(3) Gro�e Kapitalgesellschaften sind solche, die mindestens zwei der drei in Abs. 2 bezeichneten Merkmale überschreiten. Ein Unternehmen von öffentlichem Interesse (§ 189a Z 1) gilt stets als große Kapitalgesellsch"
AT_norm_5,Unternehmensgesetzbuch,AT_UGB_2023,https://rdb.manz.at/home,� 189,"� 189. (1) Soweit in der Folge nichts anderes bestimmt wird, ist das Dritte Buch anzuwenden auf:
1. Kapitalgesellschaften;
2. eingetragene Personengesellschaften, bei denen
a. alle unmittelbaren oder mittelbaren Gesellschafter mit ansonsten unbeschr�nkter Haftung tats�chlich nur beschr�nkt haftbar sind, weil sie entweder Kapitalgesellschaften im Sinn des Anhangs I der Richtlinie 2013/34/EU �ber den Jahresabschluss, den konsolidierten Abschluss und damit verbundene Berichte von Unternehmen bestimmter Rechtsformen und zur �nderung der Richtlinie 2006/43/EG des Europ�ischen Parlaments und des Rates und zur Aufhebung der Richtlinien 78/660/EWG und 83/349/EWG, ABl. Nr. L 182 vom 29. 6. 2013 S. 19, in der Fassung der Richtlinie 2014/102/EU des Rates vom 7. November 2014, ABl. Nr. L 334 vom 21. 11. 2014, S. 86 (im Folgenden: Bilanz-Richtlinie), sind oder Gesellschaften sind, die nicht dem Recht eines Mitgliedstaats der Europ�ischen Union oder eines Vertragsstaats des Abkommens �ber den Europ�ischen Wirtschaftsraum unterliegen, aber über eine Rechtsform verfügen, die einer in Anhang I der Richtlinie 2013/34/EU genannten vergleichbar ist; als Kapitalgesellschaften im Sinn des Anhangs I der Bilanz-Richtlinie gelten auch solche, die mittels delegierter Rechtsakte der Kommission im Sinn des Art. 1 Abs. 2 dieser Richtlinie als solche erklärt werden; oder
b. kein unbeschränkt haftender Gesellschafter eine natürliche Person oder eine Personengesellschaft mit einer natürlichen Person als unbeschränkt haftendem Gesellschafter ist oder bei denen sich die Verbindung von Gesellschaften in dieser Art fortsetzt, und die unternehmerisch tätig sind;
3. alle anderen mit Ausnahme der in Abs. 4 genannten Unternehmer, die hinsichtlich der einzelnen einheitlichen Betriebe jeweils mehr als 700 000 Euro Umsatzerlöse im Geschäftsjahr erzielen.
(2) Die Rechtsfolgen des Schwellenwertes (Abs. 1 Z 3) treten ein:
1. ab dem zweitfolgenden Geschäftsjahr, wenn der Schwellenwert in zwei aufeinanderfolgenden Geschäftsjahren überschritten wirlen ab dem folgenden Geschäftsjahr, wenn er in zwei aufeinanderfolgenden Geschäftsjahren nicht mehr überschritten wird;
2. jedoch schon ab dem folgenden Geschäftsjahr, wenn der Schwellenwert um mindestens 300 000 Euro überschritten wird oder wenn bei Gesamt- oder bei Einzelrechtsnachfolge in den
Bundesrecht konsolidiert Betrieb oder Teilbetrieb eines Unternehmens der Rechtsvorgänger zur Rechnungslegung verpflichtet war, es sei denn, dass der Schwellenwert für den übernommenen Betrieb oder Teilbetrieb in den letzten zwei aufeinanderfolgenden Geschäftsjahren nicht erreicht wurde; sie entfallen ab dem folgenden Geschäftsjahr, wenn er bei Aufgabe eines Teilbetriebs um mindestens die Hälfte unterschritten wird.
(3) Rechnungslegungsrechtliche Sonderbestimmungen gehen der Anwendung dieses Gesetzes vor.
(4) Das Dritte Buch ist nicht anzuwenden auf Angehörige der freien Berufe, Land- und Forstwirte sowie Unternehmer, deren Einkünfte im Sinne des § 2 Abs. 4 Z 2 EStG 1988 im Überschuss der Einnahmen überten liegen, auch wenn ihre Tätigkeit im Rahmen einer eingetragenen Personengesellschaft ausgeübt wird, es sei denn, dass es sich um eine Personengesellschaft im Sinn des Abs. 1 Z 2 handel"
AT_norm_6,Unternehmensgesetzbuch,AT_UGB_2023,https://rdb.manz.at/home,� 189a,"� 189a. F�r das Dritte Buch gelten folgende Begriffsbestimmungen:
1. Unternehmen von �ffentlichem Interesse:
a. Unternehmen, deren �bertragbare Wertpapiere zum Handel an einem geregelten Markt eines Mitgliedstaats der Europ�ischen Union oder eines Vertragsstaats des Abkommens �ber den Europ�ischen Wirtschaftsraum im Sinn des Art. 4 Abs. 1 Nr. 21 der Richtlinie 2014/65/EU �ber M�rkte f�r Finanzinstrumente sowie zur �nderung der Richtlinien 2002/92/EG und 2011/61/EU, ABl. Nr. L 173 vom 12. 6. 2014 S. 349, zugelassen sind;
b. Kapitalgesellschaften, die Kreditinstitute im Sinn des Art. 4 Abs. 1 Nr. 1 der Verordnung (EU) Nr. 575/2013 �ber Aufsichtsanforderungen an Kreditinstitute und Wertpapierfirmen und zur �nderung der Verordnung (EU) Nr. 646/2012, ABl. Nr. L 176 vom 27. 6. 2013 S. 1  mit Ausnahme der in Artikel 2 Abs. 5 der Richtlinie 2013/36/EU �ber den Zugang zur T�tigkeit von Kreditinstituten und die Beaufsichtigung von Kreditinstituten und Wertpapierfirmen, zur �nderung der Richtlinie 2002/87/EG und zur Aufhebung der Richtlinien 2006/48/EG und 2006/49/EG, ABl. Nr. L 176 vom 27. 6. 2013 S. 338, genannten Kreditinstitute – sind;
c. Kapitalgesellschaften, die Versicherungsunternehmen im Sinn des Art. 2 Abs. 1 der Richtlinie 91/674/EWG über den Jahresabschluss und den konsolidierten Abschluss von Versicherungsunternehmen, ABl. Nr. L 374 vom 31. 12. 1991 S. 7, sind oder
d. Unternehmen, die ungeachtet ihrer Rechtsform in einem Bundesgesetz unter Verweis auf diese Bestimmung als solche bezeichnet werden;
2. Beteiligung: Anteile an einem anderen Unternehmen, die dazu bestimmt sind, dem eigenen Geschäftsbetrieb durch Herstellung einer dauernden Verbindung zu diesem Unternehmen zu dienen; dabei ist es gleichgültig, ob die Anteile in Wertpapieren verbrieft sind oder nicht; es wird eine Beteiligung an einem anderen Unternehmen vermutet, wenn der Anteil am Kapital 20% beträgt oder darüber liegt; § 244 Abs. 4 und 5 über die Berechnung der Anteile ist anzuwenden; die Beteiligung als unbeschränkt haftender Gesellschiner Personengesellschaft gilt stets als Beteiligung;
3. beizulegender Wert: der Betrag, den ein Erwerber des gesamten Unternehmens im Rahmen des Gesamtkaufpreises für den betreffenden Vermögensgegenstand oder die betreffende Schuld ansetzen würde; dabei ist davon auszugehen, dass der Erwerber das Unternehmen fortführt;
4. beizulegender Zeitwert: der Börsenkurs oder Marktpreis; im Fall von Finanzinstrumenten, deren Marktpreis sich als Ganzes nicht ohne weiteres ermitteln lässt, der aus den Marktpreisen der einzelnen Bestandteile des Finanzinstruments oder dem Marktpreis für ein gleichartiges Finanzinstrument abgeleitete Wert; falls sich bei Finanzinstrumenten ein verlässlicher Markt nicht ohne weiteres ermitteln lässt, der mit Hilfe allgemein anerkannter Bewertungsmodelle und -methoden bestimmte Wert, sofern diese Modelle und Methoden eine angemessene Annäherung an den Marktpreis gewährleisten;
5. Umsatzerlöse: die Beträge, die sich aus dem Verkauf von Produkten und der Erbringung von Dienstleistzug von Erlösschmälerungen und der Umsatzsteuer sowie von sonstigen direkt mit dem Umsatz verbundenen Steuern ergeben;
6. Mutterunternehmen: ein Unternehmen, das ein oder mehrere Tochterunternehmen im Sinn des § 244 beherrscht;
7. Tochterunternehmen: ein Unternehmen, das von einem Mutterunternehmen im Sinn des § 244 unmittelbar oder mittelbar beherrscht wird;
8. verbundene Unternehmen: zwei oder mehrere Unternehmen innerhalb einer Gruppe, wobei eine Gruppe das Mutterunternehmen und alle Tochterunternehmen bilden;
Bundesrecht konsolidiert
9. assoziiertes Unternehmen: ein Unternehmen, an dem ein anderes Unternehmen eine Beteiligung hält und dessen Geschäfts- und Finanzpolitik durch das andere Unternehmen maßgeblich beeinflusst wird; es wird vermutet, dass ein Unternehmen einen maßgeblichen Einfluss auf ein anderes Unternehmen ausübt, sofern jenes Unternehmen 20% oder mehr der Stimmrechte der Aktionäre oder Gesellschafter dieses Unternehmens besitzt;
10. wesentlich: der Status von Informationen, wenn vrweise zu erwarten ist, dass ihre Auslassung oder fehlerhafte Angabe Entscheidungen beeinflusst, die Nutzer auf der Grundlage des Jahres- oder Konzernabschlusses treffen. Die Wesentlichkeit ist von der Größe oder der spezifischen Eigenschaft des Postens oder der Fehlerhaftigkeit der Angabe abhängig. Selbst wenn ein einzelner Posten für sich genommen als unwesentlich angesehen werden kann, können mehrere unwesentliche gleichartige Posten zusammen als wesentlich gelten;
11. Investmentunternehmen:
a. Unternehmen, deren einziger Zweck darin besteht, ihre Mittel in Wertpapieren oder Immobilien verschiedener Art oder in anderen Werten anzulegen mit dem einzigen Ziel, das Risiko der Investitionen zu verteilen und ihre Aktionäre oder Gesellschafter an dem Gewinn aus der Verwaltung ihres Vermögens zu beteiligen;
b. Unternehmen, die mit Unternehmen nach lit. a mit festem Kapital verbunden sind, sofern der einzige Zweck dieser verbundenen Unternehmen darin besteht, voll eingezahlte Anteile, die von den Unternehmelit. a ausgegeben worden sind, zu erwerben, unbeschadet des Artikels 22 Absatz 1 Buchstabe h der Richtlinie 2012/30/EU zur Koordinierung der Schutzbestimmungen, die in den Mitgliedstaaten den Gesellschaften im Sinne des Artikels 54 Absatz 2 des Vertrages über die Arbeitsweise der Europäischen Union im Interesse der Gesellschafter sowie Dritter für die Gründung der Aktiengesellschaft sowie für die Erhaltung und Änderung ihres Kapitals vorgeschrieben sind, um diese Bestimmungen gleichwertig zu gestalten, ABl. Nr. L 315 vom 14. 11. 2012 S. 74;
12. Beteiligungsgesellschaft: Unternehmen, deren einziger Zweck darin besteht, Beteiligungen an anderen Unternehmen zu erwerben sowie die Verwaltung und Verwertung dieser Beteiligungen wahrzunehmen, ohne dass sie unmittelbar oder mittelbar in die Verwaltung dieser Unternehmen eingreifen, unbeschadet der Rechte, die ihnen in ihrer Eigenschaft als Anteilsinhaber zus"
AU_norm_1,Corporations Act 2001 (Division 1),AU_Coporations_Act_Division_1_2023,https://www.legislation.gov.au/Details/C2018C00031,111AC,"111AC Disclosing entity
(1) If any securities of a body (except interests in a managed investment scheme) are ED securities, the body is a disclosing entity for the purposes of this Act.
(2) If any interests in a managed investment scheme are ED securities, the undertaking to which the interests relate is a disclosing entity for the purposes of this Act."
AU_norm_2,Corporations Act 2001 (Division 2),AU_Coporations_Act_Division_2_2023,https://www.legislation.gov.au/Details/C2018C00031,Section 292,"292 Who has to prepare annual financial reports and directors’ reports
(1) A financial report and a directors’ report must be prepared for each financial year by:
(a) all disclosing entities; and
(b) all public companies; and
(c) all large proprietary companies; and
(d) all registered sche"
AU_norm_3,Corporations Act 2001 (Division 2),AU_Coporations_Act_Division_2_2023,https://www.legislation.gov.au/Details/C2018C00031,Section 293,"293 Small proprietary company—shareholder direction
(1) Shareholders with at least 5% of the votes in a small proprietary company may give the company a direction to:
(a) prepare a financial report and directors’ report for a financial year; and
(b) send them to all shareholders.
(2) The direction must be:
(a) signed by the shareholders giving the direction; and
(b) made no later than 12 months after the end of the financial year concerned.
(3) The direction may specify all or any of the following:
(a) that the financial report does not have to comply with some or all of the accounting standards;
(b) that a directors’ report or a part of that report need not be prepared;
(c) that the financial report is to be au"
AU_norm_4,Corporations Act 2001 (Division 2),AU_Coporations_Act_Division_2_2023,https://www.legislation.gov.au/Details/C2018C00031,Section 294,"294 Small proprietary company—ASIC direction
(1) ASIC may give a small proprietary company a direction to comply with requirements of this Division and Divisions 3, 4, 5 and 6 for a financial year.
(1A) An offence based on subsection (1) is an offence of strict liability.
Note: For strict liability, see section 6.1 of the Criminal Code.
(2) The direction may be general or may specify the particular requirements that the company is to comply with.
(3) The direction must specify the date by which the documents have to be prepared, sent or lodged. The date must be a reasonable one in view of the nature of the direction.
(4) The direction must:
(a) be made in writing; and Authorised Version C2018C00031 registered 29/01/2018
Financial reports and audit Chapter 2M
Financial reporting Part 2M.3
Annual financial reports and directors’ reports Division 1
Compilation No. 82 Compilation date: 1/1/18 Registered: 29/1/18
(b) specify the financial year concerned; and
(c) be made no later than 6 years after the end of tfinancial year."
