regulation_id,norm_id
AT_1,AT_norm_1
AT_1,AT_norm_5
AT_2,AT_norm_1
AT_2,AT_norm_2
AT_2,AT_norm_4
AT_2,AT_norm_5
AT_2,AT_norm_6
AT_3,AT_norm_3
AT_3,AT_norm_4
AT_3,AT_norm_5
AT_3,AT_norm_6
AT_4,AT_norm_4
AT_4,AT_norm_6
AT_5,AT_norm_4
AT_5,AT_norm_6
AT_6,AT_norm_4
AT_6,AT_norm_6
AU_1,AU_norm_1
AU_1,AU_norm_2
AU_1,AU_norm_3
AU_1,AU_norm_4
AU_1,AU_norm_6
AU_2,AU_norm_1
AU_2,AU_norm_2
AU_2,AU_norm_3
AU_2,AU_norm_4
AU_2,AU_norm_6
AU_3,AU_norm_1
AU_3,AU_norm_2
AU_3,AU_norm_3
AU_3,AU_norm_4
AU_3,AU_norm_5
AU_3,AU_norm_6
AU_4,AU_norm_4 
BE_1,BE_norm_1
BE_1,BE_norm_2
BE_2,BE_norm_1
BE_2,BE_norm_2
BE_3,BE_norm_3
BE_3,BE_norm_4
BE_3,BE_norm_5
BE_4,BE_norm_3
BE_4,BE_norm_4
BE_4,BE_norm_5
BG_1,BG_norm_1
BG_2,BG_norm_1
BG_3,BG_norm_2
BG_4,BG_norm_3
BG_5,BG_norm_3
BG_6,BG_norm_3
CA_1,CA_norm_1
CA_1,CA_norm_2
CA_2,CA_norm_1
CA_2,CA_norm_2
CA_3,CA_norm_1
CA_3,CA_norm_2
CH_1,CH_norm_1
CH_2,CH_norm_1
CZ_1,CZ_norm_1
CZ_1,CZ_norm_3
CZ_1,CZ_norm_4
CZ_2,CZ_norm_1
CZ_2,CZ_norm_3
CZ_2,CZ_norm_4
CZ_3,CZ_norm_2
DE_1,DE_norm_1
DE_1,DE_norm_5
DE_2,DE_norm_1
DE_2,DE_norm_2
DE_2,DE_norm_4
DE_3,DE_norm_3
DE_3,DE_norm_4
DE_4,DE_norm_5
DE_5,DE_norm_4
DE_6,DE_norm_4
DE_7,DE_norm_6
DE_8,DE_norm_6
DE_9,DE_norm_6
DK_1,DK_norm_1
DK_2,DK_norm_1
DK_3,DK_norm_2
DK_4,DK_norm_3
DK_4,DK_norm_4
DK_5,DK_norm_3
DK_5,DK_norm_4
EE_1,EE_norm_1
EE_2,EE_norm_1
EE_3,EE_norm_2
ES_1,ES_norm_1
ES_1,ES_norm_2
ES_2,ES_norm_1
ES_2,ES_norm_2
ES_3,ES_norm_3
FI_1,FI_norm_3
FI_2,FI_norm_3
FI_3,FI_norm_5
FI_4,FI_norm_4
FI_5,FI_norm_6
FI_6,FI_norm_7
FR_1,FR_norm_1
FR_1,FR_norm_2
FR_1,FR_norm_3
FR_1,FR_norm_4
FR_1,FR_norm_5
FR_2,FR_norm_1
FR_2,FR_norm_2
FR_2,FR_norm_3
FR_2,FR_norm_4
FR_2,FR_norm_5
FR_3,FR_norm_5
FR_4,FR_norm_5
FR_5,FR_norm_5
FR_6,FR_norm_6
GB_1,GB_norm_1
GB_2,GB_norm_1
GB_3,GB_norm_4
GB_3,GB_norm_5
GB_4,GB_norm_2
GB_4,GB_norm_3
GB_5,GB_norm_2
GB_5,GB_norm_3
GB_5,GB_norm_6
GR_1,GR_norm_1
GR_1,GR_norm_2
GR_2,GR_norm_1
GR_2,GR_norm_2
GR_3,GR_norm_2
GR_4,GR_norm_3
GR_5,GR_norm_4
HR_1,HR_norm_2
HR_1,HR_norm_4
HR_2,HR_norm_2
HR_2,HR_norm_4
HR_3,HR_norm_5
HR_4,HR_norm_5
HR_5,HR_norm_5
HR_6,HR_norm_3
HR_6,HR_norm_5
IE_1,IE_norm_1
IE_1,IE_norm_2
IE_2,IE_norm_1
IE_2,IE_norm_2
IE_3,IE_norm_4
IE_4,IE_norm_4
IE_5,IE_norm_3
IE_5,IE_norm_4
IE_5,IE_norm_5
IL_1,IL_norm_2
IL_1,IL_norm_3
IL_2,IL_norm_2
IL_2,IL_norm_3
IL_3,IL_norm_4
IS_1,IS_norm_1
IS_1,IS_norm_2
IS_1,IS_norm_3
IS_2,IS_norm_1
IS_2,IS_norm_3
IS_3,IS_norm_2
IS_4,IS_norm_2
IS_5,IS_norm_2
IS_6,IS_norm_5
IT_1,IT_norm_1
