regulation_id,iso2,year,effect,description
AT_1,AT,2023,Balance Sheet disclosure,Mandates firms to disclose a balance sheet.
AT_2,AT,2023,Income Statement disclosure,Mandates firms to disclose an income statement.
AT_3,AT,2023,Audit,Mandates firms to have their annual financial statements audited.
AT_4,AT,2023,Micro,Classifies firms as 'micro'. This imposes lighter disclosure requirements on such firms.
AT_5,AT,2023,Small,Classifies firms as 'small'. This imposes lighter disclosure requirements on such firms.
AT_6,AT,2023,Medium,Classifies firms as 'medium'. This imposes lighter disclosure requirements on such firms.
AU_1,AU,2023,Balance Sheet disclosure,Mandates firms to disclose a balance sheet.
AU_2,AU,2023,Income Statement disclosure,Mandates firms to disclose an income statement.
AU_3,AU,2023,Audit,Mandates firms to have their annual financial statements audited.
AU_4,AU,2023,Small,Classifies firms as 'small'. This imposes lighter disclosure requirements on such firms.
BE_1,BE,2023,Balance Sheet disclosure,Mandates firms to disclose a balance sheet.
BE_2,BE,2023,Income Statement disclosure,Mandates firms to disclose an income statement.
BE_3,BE,2023,Audit,Mandates firms to have their annual financial statements audited.
BE_4,BE,2023,Micro,Classifies firms as 'micro'. This imposes lighter disclosure requirements on such firms.
BE_5,BE,2023,Small,Classifies firms as 'small'. This imposes lighter disclosure requirements on such firms.
BG_1,BG,2023,Balance Sheet disclosure,Mandates firms to disclose a balance sheet.
BG_2,BG,2023,Income Statement disclosure,Mandates firms to disclose an income statement.
BG_3,BG,2023,Audit,Mandates firms to have their annual financial statements audited.
BG_4,BG,2023,Micro,Classifies firms as 'micro'. This imposes lighter disclosure requirements on such firms.
BG_5,BG,2023,Small,Classifies firms as 'small'. This imposes lighter disclosure requirements on such firms.
BG_6,BG,2023,Medium,Classifies firms as 'medium'. This imposes lighter disclosure requirements on such firms.
CA_1,CA,2023,Balance Sheet disclosure,Mandates firms to disclose a balance sheet.
CA_2,CA,2023,Income Statement disclosure,Mandates firms to disclose an income statement.
CA_3,CA,2023,Audit,Mandates firms to have their annual financial statements audited.
CH_1,CH,2023,Prepare Balance Sheet,Mandates firms to prepare and file a balance sheet. 
CH_2,CH,2023,Prepare Income Statement,Mandates firms to prepare and file an income statement. 
CH_3,CH,2023,Balance Sheet disclosure,Mandates firms to disclose a balance sheet to the public.
CH_4,CH,2023,Income Statement disclosure,Mandates firms to disclose an income statement to the public. 
