regulation_ID	iso2	year	legal_form
AT_1	AT	2010	Limited liability enterprise
AT_1	AT	2011	Limited liability enterprise
AT_1	AT	2012	Limited liability enterprise
AT_1	AT	2013	Limited liability enterprise
AT_1	AT	2014	Limited liability enterprise
AT_1	AT	2015	Limited liability enterprise
AT_1	AT	2016	Limited liability enterprise
AT_1	AT	2017	Limited liability enterprise
AT_1	AT	2018	Limited liability enterprise
AT_1	AT	2019	Limited liability enterprise
AT_1	AT	2020	Limited liability enterprise
AT_1	AT	2021	Limited liability enterprise
AT_1	AT	2022	Limited liability enterprise
AT_2	AT	2010	Limited liability enterprise
AT_2	AT	2011	Limited liability enterprise
AT_2	AT	2012	Limited liability enterprise
AT_2	AT	2013	Limited liability enterprise
AT_2	AT	2014	Limited liability enterprise
AT_2	AT	2015	Limited liability enterprise
AT_3	AT	2015	Limited liability enterprise
AT_3	AT	2016	Limited liability enterprise
AT_3	AT	2017	Limited liability enterprise
AT_3	AT	2018	Limited liability enterprise
AT_3	AT	2019	Limited liability enterprise
AT_3	AT	2020	Limited liability enterprise
AT_3	AT	2021	Limited liability enterprise
AT_3	AT	2022	Limited liability enterprise
AT_4	AT	2010	"Partnership, co-operatives, associations, etc."
AT_4	AT	2011	"Partnership, co-operatives, associations, etc."
AT_4	AT	2012	"Partnership, co-operatives, associations, etc."
AT_4	AT	2013	"Partnership, co-operatives, associations, etc."
AT_4	AT	2014	"Partnership, co-operatives, associations, etc."
AT_4	AT	2015	"Partnership, co-operatives, associations, etc."
AT_4	AT	2016	"Partnership, co-operatives, associations, etc."
AT_4	AT	2017	"Partnership, co-operatives, associations, etc."
AT_4	AT	2018	"Partnership, co-operatives, associations, etc."
AT_4	AT	2019	"Partnership, co-operatives, associations, etc."
AT_4	AT	2020	"Partnership, co-operatives, associations, etc."
AT_4	AT	2021	"Partnership, co-operatives, associations, etc."
AT_4	AT	2022	"Partnership, co-operatives, associations, etc."
AT_5	AT	2011	"Partnership, co-operatives, associations, etc."
AT_5	AT	2012	"Partnership, co-operatives, associations, etc."
AT_5	AT	2013	"Partnership, co-operatives, associations, etc."
AT_5	AT	2014	"Partnership, co-operatives, associations, etc."
AT_5	AT	2015	"Partnership, co-operatives, associations, etc."
AT_6	AT	2015	"Partnership, co-operatives, associations, etc."
AT_6	AT	2016	"Partnership, co-operatives, associations, etc."
AT_6	AT	2017	"Partnership, co-operatives, associations, etc."
AT_6	AT	2018	"Partnership, co-operatives, associations, etc."
AT_6	AT	2019	"Partnership, co-operatives, associations, etc."
AT_6	AT	2020	"Partnership, co-operatives, associations, etc."
AT_6	AT	2021	"Partnership, co-operatives, associations, etc."
AT_6	AT	2022	"Partnership, co-operatives, associations, etc."
AT_7	AT	2011	Sole proprietorship
AT_7	AT	2012	Sole proprietorship
AT_7	AT	2013	Sole proprietorship
AT_7	AT	2014	Sole proprietorship
AT_7	AT	2015	Sole proprietorship
AT_7	AT	2015	Sole proprietorship
AT_7	AT	2016	Sole proprietorship
AT_7	AT	2017	Sole proprietorship
AT_7	AT	2018	Sole proprietorship
AT_7	AT	2019	Sole proprietorship
AT_7	AT	2020	Sole proprietorship
AT_7	AT	2021	Sole proprietorship
AT_7	AT	2022	Sole proprietorship
AT_8	AT	2011	Sole proprietorship
AT_8	AT	2012	Sole proprietorship
AT_8	AT	2013	Sole proprietorship
AT_8	AT	2014	Sole proprietorship
AT_8	AT	2015	Sole proprietorship
AT_8	AT	2015	Sole proprietorship
AT_8	AT	2016	Sole proprietorship
AT_8	AT	2017	Sole proprietorship
AT_8	AT	2018	Sole proprietorship
