iso2,standardised_legal_form_orbis,national_legal_form_orbis
AD,Companies with unknown/unrecorded legal form,NA
AD,Other legal forms,Fund
AD,Private limited companies,One-person company with limited liability
AD,Public limited companies,Limited company
AD,Private limited companies,Limited liability company
AD,Other legal forms,Open-ended investment company
AE,Other legal forms,Government owned corporation
AE,Public limited companies,Public joint stock company
AE,Companies with unknown/unrecorded legal form,NA
AE,Private limited companies,Limited liability company
AE,Other legal forms,Free zone company
AE,Public authorities,Government body
AE,Public limited companies,Joint stock company
AE,Public limited companies,Limited company by shares
AE,Private limited companies,Private joint stock company
AE,Public limited companies,Public limited company
AE,Other legal forms,Free zone establishment
AE,Public limited companies,Insurance stock company
AE,Other legal forms,Free zone entity
AE,Private limited companies,One-person company with limited liability
AE,Foreign companies,Foreign (registered) company's office
AE,Non profit organisations,Cooperative society (non profitable organization for public interest)
AE,Branches,Branch
AE,Other legal forms,Joint venture company
AE,Other legal forms,Company
AE,Other legal forms,International business company
AE,Sole traders/proprietorships,Sole proprietorship
AE,Other legal forms,Free zone limited liability company
AE,Other legal forms,Offshore company - trading
AE,Partnerships,General partnership
AE,Partnerships,Limited liability partnership
AE,Public authorities,Ministry
AE,Non profit organisations,Non profit organization
AE,Partnerships,Civil company
AE,Non profit organisations,Non governmental organization
AE,Sole traders/proprietorships,Professional sole proprietorship
AE,Private limited companies,Private limited company by shares
AE,Other legal forms,Special purpose company
AE,Partnerships,Professional partnership in the form of a general partnership
AE,Partnerships,Limited partnership
AE,Other legal forms,Non-legal entity
AE,Non profit organisations,Military academy
AE,Other legal forms,Open-ended investment company
AE,Public authorities,Embassy
AE,Other legal forms,Fund
AE,Non profit organisations,Foundation
AE,Public limited companies,Limited company
AE,Private limited companies,Private company
AE,Other legal forms,Special purpose vehicle
AE,Private limited companies,One-person company
AF,Companies with unknown/unrecorded legal form,NA
AF,Other legal forms,Joint venture company
AF,Private limited companies,Limited liability company
AF,Private limited companies,Corporation
AF,Branches,Branch
AG,Public limited companies,Public limited company
AG,Public limited companies,Insurance stock company
AG,Companies with unknown/unrecorded legal form,NA
AG,Public limited companies,Limited company
AG,Other legal forms,International business company
AG,Private limited companies,Limited company by shares
AG,Branches,Branch
AL,Public limited companies,Joint stock company
AL,Private limited companies,Limited liability company
AL,Branches,Branch of a foreign company
AL,Partnerships,General partnership
AL,Partnerships,Limited partnership
AL,Companies with unknown/unrecorded legal form,NA
AL,Sole traders/proprietorships,Sole trader
AL,Other legal forms,Savings and credit cooperative association
AL,Other legal forms,Mutual aid and cooperation company
AL,Branches,Branch
AL,Non profit organisations,Non profit organization
AL,Foreign companies,Representative office
AM,Private limited companies,Limited liability company
AM,Private limited companies,Closed joint stock company
AM,Non profit organisations,Association
AM,Companies with unknown/unrecorded legal form,NA
AM,Public limited companies,Open joint stock company
AM,Public limited companies,Joint stock company
AM,Other legal forms,Union
AM,Branches,Branch
AM,Public limited companies,Insurance stock company
AM,Non profit organisations,Non governmental organization
AM,Non profit organisations,Institution
AM,Other legal forms,State company
AM,Partnerships,Production cooperative company
AM,Non profit organisations,Foundation
AM,Sole traders/proprietorships,Personal firm
AM,Other legal forms,Subsidiary of a company
AM,Partnerships,General partnership
AM,Other legal forms,Family company
AM,Public authorities,State non profit organization
AM,Non profit organisations,Community association
AM,Partnerships,Agricultural collective farm
AM,Other legal forms,Condominium
AM,Partnerships,Limited partnership
AM,Branches,Branch of a foreign company
AM,Partnerships,Agricultural cooperative company
AM,Partnerships,Consumers cooperative company
AM,Non profit organisations,Chamber of commerce and industry
AM,Other legal forms,Political party
AM,Non profit organisations,Religious institution
AM,Other legal forms,Fund
AO,Public authorities,Public authority
AO,Companies with unknown/unrecorded legal form,NA
AO,Foreign companies,Foreign company
