"iso2","year","legal_form","number_firms_orbis","number_firms_eurostat","number_balance_sheets","number_income_statements","bs_share","is_share"
"AT",2010,"Limited liability enterprise",115282,87701,110144,6744,0.95543102999601,0.0585000260231432
"AT",2010,"Partnership, co-operatives, associations, etc.",35984,49790,1235,58,0.0343208092485549,0.0016118274788795
"AT",2010,"Sole proprietorship",80749,289324,13,0,0.000160992705792022,0
"AT",2011,"Limited liability enterprise",122584,87886,123659,6909,1.00876949683482,0.0563613522156236
"AT",2011,"Partnership, co-operatives, associations, etc.",38550,49983,1405,64,0.0364461738002594,0.00166018158236057
"AT",2011,"Sole proprietorship",85628,292427,16,0,0.000186854767132246,0
"AT",2012,"Limited liability enterprise",130130,89614,127255,7133,0.977906708675939,0.0548144163528779
"AT",2012,"Partnership, co-operatives, associations, etc.",41211,50332,1544,78,0.0374657251704642,0.00189269855135765
"AT",2012,"Sole proprietorship",90910,292288,14,0,0.0001539984600154,0
"AT",2013,"Limited liability enterprise",139372,93922,131719,7145,0.945089401027466,0.0512656774674971
"AT",2013,"Partnership, co-operatives, associations, etc.",43855,54077,1550,83,0.0353437464371223,0.00189260061566526
"AT",2013,"Sole proprietorship",96416,283681,13,0,0.000134832392963823,0
"AT",2014,"Limited liability enterprise",146639,96266,137471,7383,0.937479115378583,0.0503481338525222
"AT",2014,"Partnership, co-operatives, associations, etc.",46638,51341,1552,80,0.0332775848020927,0.00171533942278828
"AT",2014,"Sole proprietorship",102093,272172,12,0,0.000117539890100203,0
"AT",2015,"Limited liability enterprise",151423,98777,141806,6544,0.936489172714845,0.0432166843874444
"AT",2015,"Partnership, co-operatives, associations, etc.",49802,46690,1529,80,0.0307015782498695,0.00160636119031364
"AT",2015,"Sole proprietorship",108137,263732,11,1,0.000101722814577804,9.24752859798219e-06
"AT",2016,"Limited liability enterprise",156305,99480,145657,5927,0.93187677937366,0.0379194523527718
"AT",2016,"Partnership, co-operatives, associations, etc.",52417,46921,1460,86,0.0278535589598794,0.00164068908941756
"AT",2016,"Sole proprietorship",113485,266449,13,6,0.000114552584041944,5.28704234039741e-05
"AT",2017,"Limited liability enterprise",160725,100554,150308,6264,0.935187431948981,0.0389734017732151
"AT",2017,"Partnership, co-operatives, associations, etc.",55759,46338,1277,84,0.0229021323911835,0.00150648325830808
"AT",2017,"Sole proprietorship",119102,266271,10,4,8.3961646319961e-05,3.35846585279844e-05
"AT",2018,"Limited liability enterprise",167729,102466,155487,6541,0.927013217750061,0.0389974303787657
"AT",2018,"Partnership, co-operatives, associations, etc.",59089,46576,1226,95,0.0207483626394083,0.00160774425019885
"AT",2018,"Sole proprietorship",124412,268284,12,6,9.64537182908401e-05,4.82268591454201e-05
"AT",2019,"Limited liability enterprise",174699,104823,144492,6563,0.827091168237941,0.0375674731967556
"AT",2019,"Partnership, co-operatives, associations, etc.",62532,46493,1056,93,0.0168873536749184,0.00148723853387066
"AT",2019,"Sole proprietorship",129655,262583,10,5,7.71277621379816e-05,3.85638810689908e-05
"AT",2020,"Limited liability enterprise",182419,110943,146224,6200,0.801583168419956,0.0339876876860415
"AT",2020,"Partnership, co-operatives, associations, etc.",65457,47346,1002,84,0.0153077592923599,0.00128328521013795
"AT",2020,"Sole proprietorship",133530,260001,4,2,2.99558151726204e-05,1.49779075863102e-05
"AT",2021,"Limited liability enterprise",193303,NA,35685,1573,0.18460655033807,0.0081374836396745
"AT",2021,"Partnership, co-operatives, associations, etc.",68669,NA,191,16,0.00278145888246516,0.00023300179120127
"AT",2021,"Sole proprietorship",137393,NA,0,0,0,0
"AT",2022,"Limited liability enterprise",193970,NA,454,14,0.00234056812909213,7.21761097076868e-05
"AT",2022,"Partnership, co-operatives, associations, etc.",69785,NA,1,1,1.43297270187003e-05,1.43297270187003e-05
"AT",2022,"Sole proprietorship",138154,NA,0,0,0,0
"BA",2010,"Limited liability enterprise",19015,NA,25837,25835,1.3587693925848,1.35866421246384
"BA",2010,"Partnership, co-operatives, associations, etc.",262,NA,289,289,1.1030534351145,1.1030534351145
"BA",2010,"Sole proprietorship",183,NA,194,194,1.06010928961749,1.06010928961749
"BA",2011,"Limited liability enterprise",19681,NA,25022,25015,1.2713784868655,1.27102281388141
"BA",2011,"Partnership, co-operatives, associations, etc.",264,NA,252,252,0.954545454545455,0.954545454545455
"BA",2011,"Sole proprietorship",188,NA,6,6,0.0319148936170213,0.0319148936170213
"BA",2012,"Limited liability enterprise",20356,NA,26644,8886,1.30890155236785,0.436529770092356
"BA",2012,"Partnership, co-operatives, associations, etc.",266,NA,269,129,1.01127819548872,0.484962406015038
